,AÑO,MES,FINCA,POTRERO,AREA M2,ACTIVIDAD,FECHA ACTIVIDAD,PRODUCTO,HATO,TIPO DE FORRAJE,FECHA ENTRADA,FECHA SALIDA,DIAS ANTIGUEDAD PASTOS,AFORO,FORRAJE FRECIDO,DIAS ESTADIA,NUMERO ANIMALES,LECHE TOTAL,LECHE POR DIA,LECHE POR VACA,FECHA PROYECTADA FUMIGACION,ANO FUMIGACION,MES FUMIGACION,Unnamed: 23,Unnamed: 24,Unnamed: 25,Contador,15289,Unnamed: 28,Unnamed: 29,ACTIVIDAD.1,2,Unnamed: 32,SIEMBRA,3,FUMIGADA,2.1,ABONADA,74,RENOVADA,292,CORTE,624,HENOLAJE,645,DESBROSADA,695,ROTOBO,1695,RIEGO,2175,ENMIENDA,2340,ENCALADO,2485,PASTOREO,832,INTERSIEMBRA,9197,RASTRILLO,9677
75,2017,1,LA ISLA,16,8412,FUMIGADA,2017-01-12 00:00:00,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2017,1,LA ISLA,21,5037,FUMIGADA,2017-01-12 00:00:00,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2017,1,LA ISLA,27,7359,FUMIGADA,2017-01-12 00:00:00,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2017,1,PARAISO,12,22432,FUMIGADA,2017-01-12 00:00:00,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2017,1,PARAISO,13,15112,FUMIGADA,2017-01-12 00:00:00,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2017,1,RANCHO,12,2978,FUMIGADA,2017-01-12 00:00:00,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2017,1,RANCHO,13,9486,FUMIGADA,2017-01-12 00:00:00,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2017,1,RANCHO,14,9724,FUMIGADA,2017-01-12 00:00:00,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2017,1,RANCHO,15,8886,FUMIGADA,2017-01-12 00:00:00,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2017,1,LA ISLA,5,14809,FUMIGADA,2017-01-17 00:00:00,17/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
